Facility Id,State,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting_Year,2021 Total reported direct emissions,2020 Total reported direct emissions
1002678,TX,211120.0,"C,W-PROC",Petroleum and Natural Gas Systems,435406.81,429713.4,5493.75,199.66,,,,,,,,,,339551.92,,,,,,,,,,,,,,,,,,,95854.89,,,,,,,,,,,,,,,,,,N,N,N,2023,430689.436,467181.75
1002454,TX,211120.0,"C,W-PROC",Petroleum and Natural Gas Systems,64352.9,63457.1,866.0,29.8,,,,,,,,,,50522.36,,,,,,,,,,,,,,,,,,,13830.54,,,,,,,,,,,,,,,,,,N,N,N,2023,95598.096,97213.946
1002264,NM,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,233828.766,232256.8,1440.25,131.716,,,,,,,,,,211559.656,,,,,,,,,,,,,,,,,,,22269.11,,,,,,,,,,,,,,,,,,N,N,N,2023,242853.942,227901.352
1013724,TX,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,238617.614,228037.6,10485.25,94.764,,,,,,,,,,129538.812,,,,,,,,,,,,,,,,,,,109078.802,,,,,,,,,,,,,,,,,,N,N,N,2023,241041.772,276325.92
1001805,LA,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,3823.536,3605.2,216.25,2.086,,,,,,,,,,3242.988,,,,,,,,,,,,,,,,,,,580.548,,,,,,,,,,,,,,,,,,N,N,N,2023,61780.918,62547.926
1001806,TX,211120.0,"C,W-PROC",Petroleum and Natural Gas Systems,499208.472,496242.9,2723.0,242.572,,,,,,,,,,410409.604,,,,,,,,,,,,,,,,,,,88798.868,,,,,,,,,,,,,,,,,,N,N,N,2023,519315.328,478447.546
1005739,TX,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,42286.258,41289.1,976.0,21.158,,,,,,,,,,33707.624,,,,,,,,,,,,,,,,,,,8578.634,,,,,,,,,,,,,,,,,,N,N,N,2023,45390.35,72840.5
1002664,OK,211130.0,"C,W-PROC",Petroleum and Natural Gas Systems,65652.2,59731.9,5890.5,29.8,,,,,,,,,,43597.936,,,,,,,,,,,,,,,,,,,22054.264,,,,,,,,,,,,,,,,,,N,N,N,2023,53608.006,51434.414
1005002,TX,211130.0,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",214027.554,184719.1,29204.75,103.704,,,,,,,,,,183332.56,,,,,,,,,,,,,,,,,,,30694.994,,,,,,,,,,,,,,,,,,N,N,N,2023,230659.19,221052.828
1002625,TX,211130.0,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",59546.878,58446.8,1067.0,33.078,,,,,,,,,,57915.232,,,,,,,,,,,,,,,,,,,1631.646,,,,,,,,,,,,,,,,,,N,N,N,2023,78845.104,68139.898
1013838,AZ,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,269.8,0.3,269.5,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,269.8,,,,,,,,,,,,,,,,,N,N,N,2023,38801.456,35064.868
1014414,TX,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,40052.314,36045.3,3986.75,20.264,,,,,,,,,,36077.964,,,,,,,,,,,,,,,,,,,,3974.35,,,,,,,,,,,,,,,,,N,N,N,2023,27015.306,0.0
1009337,MS,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,17882.4,13254.7,4620.25,7.45,,,,,,,,,,13263.1,,,,,,,,,,,,,,,,,,,,4619.3,,,,,,,,,,,,,,,,,N,N,N,2023,29538.82,23474.334
1008249,AL,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,17574.046,14299.0,3267.0,8.046,,,,,,,,,,14309.996,,,,,,,,,,,,,,,,,,,,3264.05,,,,,,,,,,,,,,,,,N,N,N,2023,20293.84,50708.32
1008458,AL,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,12220.766,8818.7,3397.0,5.066,,,,,,,,,,8824.116,,,,,,,,,,,,,,,,,,,,3396.65,,,,,,,,,,,,,,,,,N,N,N,2023,14209.216,13577.768
1001855,LA,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,40289.58,31790.7,8481.0,17.88,,,,,,,,,,31813.78,,,,,,,,,,,,,,,,,,,,8475.8,,,,,,,,,,,,,,,,,N,N,N,2023,29780.008,31231.708
1001852,LA,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,22922.584,17358.0,5554.75,9.834,,,,,,,,,,17369.684,,,,,,,,,,,,,,,,,,,,5552.9,,,,,,,,,,,,,,,,,N,N,N,2023,24486.676,21614.93
1001655,LA,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,28603.114,22633.3,5957.0,12.814,,,,,,,,,,22649.964,,,,,,,,,,,,,,,,,,,,5953.15,,,,,,,,,,,,,,,,,N,N,N,2023,17479.156,19324.046
